report_id,event_date,split,state,naics,naics4,trade,narrative,employer_redacted,hospitalised,amputations,loss_of_eye,severity,inspected,event_code,event_title,cause_group,fall_band_osha,nature_code,nature,body_part_code,body_part,source_code,source,secondary_source_code,secondary_source
2015010125,2015-01-06,train,Connecticut,236115,2361,Residential building,"Employees were moving equipment into the trailer and removed the stairs to the trailer. Upon exiting the trailer, an employee forgot the stairs were removed and fell about 3 feet to the ground. Employee has 2 broken ribs, broken scapula, and a dislocated shoulder.",0,1,0,0,Hospitalised,1,4331,Other fall to lower level less than 6 feet,Fall to lower level,Under 6 ft,1834,Fractures and dislocations,899,"Multiple body parts, n.e.c.",483,Trailers,,
2015010129,2015-01-06,train,Georgia,236220,2362,Non-residential building,"A worker was hospitalized on 01/06/2015 at 3:30 p.m. After doing some clean-up work on a roof, he fell approximately 8.5 to 9 feet while descending a ladder. The worker fractured his leg and was hospitalized overnight at Athens Regional Medical Center. He underwent surgery, at which time a pin was inserted in the tibia of the fractured leg.",0,1,0,0,Hospitalised,1,4332,Other fall to lower level 6 to 10 feet,Fall to lower level,6-10 ft,111,Fractures,513,Lower leg(s),740,"Ladders, unspecified",,
2015010134,2015-01-06,train,Texas,238220,2382,"Building equipment (electrical, plumbing, HVAC)",Employee was cutting a 10-foot length of 6-inch PVC pipe into 10-inch sections. He was using a chop saw that was on a pivot because the tool he had been using would not cut the pipe. The employee was using his hand to hold the pipe. His hand got pulled into the blade.,0,1,0,0,Hospitalised,0,6311,Struck against moving part of machinery or equipment,Struck by or against object,,1972,"Soreness, pain, hurt-nonspecified injury",440,"Hand(s), unspecified",3579,"Sawing machinery-stationary, n.e.c.",,
2015010139,2015-01-06,train,North Dakota,237310,2373,"Highway, street and bridge",An employee sustained battery acid burns to the face while attempting to start an air compressor on the back of a service vehicle by boosting the battery with jumper cables.,0,1,0,0,Hospitalised,1,5544,"Exposure through intact skin, eyes, or other exposed tissue",Other,,1510,"Chemical burns and corrosions, unspecified",130,"Face, unspecified",1115,Sulfuric acid,3991,Air compressors
2015010140,2015-01-06,train,Pennsylvania,237120,2371,Utility systems,An employee was injured when the brakes on a seven-car string of loaded boxcars let loose. The cars rolled into a four-car string of empty boxcars. The impact knocked an employee off the four-car string and he fell on the ground. The employee was hospitalized for lacerations.,0,1,0,0,Hospitalised,0,430,"Fall to lower level, unspecified",Fall to lower level,,132,"Cuts, lacerations",9999,Nonclassifiable,8240,"Train, locomotive, rail car, unspecified",,
2015010141,2015-01-06,train,New York,236118,2361,Residential building,The worker stepped on a floor joist and fell 10 feet. The worker sustained a broken leg and was hospitalized.,0,1,0,0,Hospitalised,1,4332,Other fall to lower level 6 to 10 feet,Fall to lower level,6-10 ft,111,Fractures,510,"Leg(s), unspecified",6552,"Roof trusses, joists",,
2015010146,2015-01-06,train,Nebraska,236220,2362,Non-residential building,"On January 6, 2015, a worker sustained a fracture to the right ankle after slipping on ice at a construction site located at 17400 N. 84th Street, Lincoln, NE 68517.",0,1,0,0,Hospitalised,0,40,"Fall, slip, trip, unspecified","Slip, trip or same-level fall",,111,Fractures,52,Ankle(s),660,"Floors, walkways, ground surfaces, unspecified",9273,"Ice, sleet, snow"
2015010168,2015-01-07,train,Florida,237310,2373,"Highway, street and bridge","On or about 1/7/2015 at 12:00 PM, employee working on a construction site was using a metal rebar to repair a broken hinge on another company's truck that was on site delivering soil material. Employee was standing at ground level while attempting to bend the rebar. The metal rebar broke, resulting in the employee falling to the ground. Employee sustained fractures to his right hip; he was hospitalized and had emergency surgery.",0,1,0,0,Hospitalised,0,429,"Fall on same level, n.e.c.","Slip, trip or same-level fall",,111,Fractures,341,Hip(s),6630,"Ground, unspecified",4132,"Bars, rods, reinforcing bar (rebar)"
2015010172,2015-01-07,train,Texas,238910,2389,"Other specialty trades (site prep, demolition)","Employee was operating a horizontal drilling machine when the drive shaft came loose and hit the guard. This broke the guard, which then hit the employee's seat. The employee was knocked off the machine.",0,1,0,0,Hospitalised,0,4330,"Other fall to lower level, unspecified",Fall to lower level,,10,"Traumatic injuries and disorders, unspecified",9999,Nonclassifiable,3520,"Boring, drilling, planing, milling machinery, unspecified",449,"Machine, tool, and electric parts, n.e.c."
2015010175,2015-01-07,train,Oklahoma,238310,2383,"Building finishing (drywall, painting, flooring)","Employee was crushed by falling sheetrock while it was being moved at a renovation site located at 205 Boulevard, Roland, Oklahoma. The sheetrock was leaned in an upright position, totaling 17 sheets or 1,360 pounds. The material fell on the employee's legs and crushed them.",0,1,0,0,Hospitalised,1,6239,"Struck by falling object or equipment, n.e.c.",Struck by or against object,,1971,Crushing injuries,510,"Leg(s), unspecified",4198,"Wallboard, drywall, sheetrock",,
2015010176,2015-01-07,train,California,238990,2389,"Other specialty trades (site prep, demolition)","Employee fell 8 feet from a ship's ladder, injuring his head and back. He required in-patient hospitalization.",0,1,0,0,Hospitalised,0,4332,Other fall to lower level 6 to 10 feet,Fall to lower level,6-10 ft,1978,Multiple nonspecified injuries and disorders,899,"Multiple body parts, n.e.c.",749,"Ladders, n.e.c.",,
2015010177,2015-01-07,train,New York,238210,2382,"Building equipment (electrical, plumbing, HVAC)",The worker was cutting the tip of a tube of material with a utility knife. The knife slipped and the tip of the worker's left index finger was cut off. Urgent care stitched on the tip of finger and there was no lost time. The worker was wearing gloves.,0,0,1,0,Amputation,0,6252,Injured by slipping or swinging object held by injured worker,Struck by or against object,,1311,Amputations,4422,Fingertip(s),7124,Box cutters and razor knives,,
2015010227,2015-01-07,train,Texas,238190,2381,"Foundation, structure and exterior (incl. roofing, framing, concrete, steel)","Employee was descending a 10-foot ladder and was about halfway down when he missed a rung and fell off the ladder. Employee landed on his left side and hit his head on the paved surface below. At the time of the incident, the employee was on the ladder outside removing sealant from the wall of the Metropolitan Medical Facility. The employee was transported and admitted to Samcee Hospital. The employee received stitches in his head and sustained a lower back fracture.",0,1,0,0,Hospitalised,0,4332,Other fall to lower level 6 to 10 feet,Fall to lower level,6-10 ft,111,Fractures,322,Lumbar region,740,"Ladders, unspecified",,
2015010256,2015-01-08,train,Pennsylvania,236115,2361,Residential building,An employee was cutting a piece of wood when he slipped and made contact with the rotating blade on a DeWalt miter saw. The employee cut off the tip of his right index finger. The employee was taken to UPMC East for treatment.,0,0,1,0,Amputation,1,6311,Struck against moving part of machinery or equipment,Struck by or against object,,1311,Amputations,4422,Fingertip(s),3571,"Arm saws, radial arm saws",,
2015010265,2015-01-08,train,Missouri,238910,2389,"Other specialty trades (site prep, demolition)","Employee was removing concrete debris when he removed a piece of plywood that had been secured to cover a floor hole. Upon removal, the employee stepped and walked through the hole, falling 17 feet to the lower level.",0,1,0,0,Hospitalised,0,4324,Fall through surface or existing opening 16 to 20 feet,Fall to lower level,16-20 ft,10,"Traumatic injuries and disorders, unspecified",9999,Nonclassifiable,6621,Existing floor opening,,
2015010266,2015-01-08,train,New York,237130,2371,Utility systems,Employee used a derrick with a tong to unload a utility pole out of a storage area on the ground. The pole rolled onto the employee's leg as he tried to reorient the tong. The left fibula was broken.,0,1,0,0,Hospitalised,1,6220,"Struck by rolling object or equipment-other than powered vehicle, unspecified",Struck by or against object,,111,Fractures,513,Lower leg(s),6352,Utility and telephone poles,345,Derricks and related equipment
2015010267,2015-01-08,train,Maine,238210,2382,"Building equipment (electrical, plumbing, HVAC)","Around 10 am yesterday morning, an employee fell from an aerial lift while working on a pellet unit.",0,1,0,0,Hospitalised,1,4330,"Other fall to lower level, unspecified",Fall to lower level,,10,"Traumatic injuries and disorders, unspecified",9999,Nonclassifiable,3467,"Aerial lifts, scissor lifts-except truck-mounted",,
2015010269,2015-01-08,train,District Of Columbia,238910,2389,"Other specialty trades (site prep, demolition)","Employee working on a ladder was knocked off and landed in a pile of construction debris. Employee sustaineda broken collarbone, eye socket, and skull.",0,1,0,0,Hospitalised,1,430,"Fall to lower level, unspecified",Fall to lower level,,111,Fractures,899,"Multiple body parts, n.e.c.",740,"Ladders, unspecified",,
2015010272,2015-01-08,train,Florida,237110,2371,Utility systems,An employee was working on the second floor of the inside section loading material. He fell out of a window opening onto the pavement and fractured his wrist.,0,1,0,0,Hospitalised,1,4325,Fall through surface or existing opening 21 to 25 feet,Fall to lower level,21-25 ft,111,Fractures,43,Wrist(s),653,"Windows, openings",,
2015010277,2015-01-08,train,New York,238210,2382,"Building equipment (electrical, plumbing, HVAC)",Employee working from a ladder on live electrical circuitry received an electrical shock during testing and service installation. The employee fell from the ladder.,0,1,0,0,Hospitalised,1,4330,"Other fall to lower level, unspecified",Fall to lower level,,193,"Electrocutions, electric shocks",6,BODY SYSTEMS,740,"Ladders, unspecified",4410,"Electric parts, unspecified"
2015010284,2015-01-08,train,New York,238110,2381,"Foundation, structure and exterior (incl. roofing, framing, concrete, steel)",Employee installing form work on a concrete wall was struck by a forklift.,0,1,0,0,Hospitalised,1,2440,"Pedestrian struck by vehicle in nonroadway area, unspecified",Vehicle or mobile equipment,,10,"Traumatic injuries and disorders, unspecified",9999,Nonclassifiable,8621,"Forklift, order picker, platform truck-powered",,
2015010285,2015-01-08,train,Texas,238310,2383,"Building finishing (drywall, painting, flooring)",The injured employee was hit by a forklift below the knees. He sustained a broken left leg.,0,1,0,0,Hospitalised,1,6210,"Struck by powered vehicle-nontransport, unspecified",Struck by or against object,,111,Fractures,510,"Leg(s), unspecified",8621,"Forklift, order picker, platform truck-powered",,
2015010288,2015-01-08,train,Florida,237130,2371,Utility systems,"On January 8, 2015, at around 11:45 am, an employee working at 22nd Terrace and 3rd Avenue SW, Miami, Florida, was performing tree-cutting operations on a bucket. While cutting tree limbs, he cut his hand with a chainsaw. The employee was admitted to the hospital to determine if ligament damage had occurred.",0,1,0,0,Hospitalised,1,6311,Struck against moving part of machinery or equipment,Struck by or against object,,132,"Cuts, lacerations",440,"Hand(s), unspecified",7221,Chainsaws-powered,,
2015010294,2015-01-08,train,Texas,238220,2382,"Building equipment (electrical, plumbing, HVAC)","Employee was moving a big blower blade by pulling on the fan belt. The machine was off and had proper lockout/tag out. He was there to diagnose a vibration problem on the HVAC. When pulling, his hand got trapped between the pulley and the belt. He dropped his hand and severed the ring, middle, and pinky fingers on his right hand. Each finger was amputated above the joint and was approximately less than 1 inch.",0,0,1,0,Amputation,0,6329,"Struck against stationary object or equipment, n.e.c.",Struck by or against object,,1311,Amputations,4429,"Finger(s), fingernail(s), n.e.c.",330,"Heating, cooling, and cleaning machinery and appliances, unspecified",,
2015010299,2015-01-09,train,Massachusetts,238150,2381,"Foundation, structure and exterior (incl. roofing, framing, concrete, steel)",An employee fell from an 8 foot high staging (pedestrian screen). Employee injured his tail bone and was hospitalized.,0,1,0,0,Hospitalised,1,4332,Other fall to lower level 6 to 10 feet,Fall to lower level,6-10 ft,110,"Traumatic injuries to bones, nerves, spinal cord, unspecified",324,Coccygeal region,6349,"Scaffolds-staging, n.e.c.",,
2015010302,2015-01-09,train,New York,238910,2389,"Other specialty trades (site prep, demolition)",A JP Hogan employee had three fingers amputated on 1/9/2015 while working with a Husqvarna walk-behind concrete saw.,0,1,1,0,Amputation,1,60,"Contact with objects and equipment, unspecified",Unknown (not usable),,1311,Amputations,4429,"Finger(s), fingernail(s), n.e.c.",7224,"Saws-powered, except chainsaws",,
2015010308,2015-01-09,train,Florida,238220,2382,"Building equipment (electrical, plumbing, HVAC)","Worker was installing ductwork from a 6-foot ladder, lost his balance, and fell 15-feet through the elevator shaft. He broke both arms and his nose.",0,1,0,0,Hospitalised,1,4323,Fall through surface or existing opening 11 to 15 feet,Fall to lower level,11-15 ft,111,Fractures,899,"Multiple body parts, n.e.c.",658,Elevator shafts,740,"Ladders, unspecified"
2015010309,2015-01-09,train,Oklahoma,238120,2381,"Foundation, structure and exterior (incl. roofing, framing, concrete, steel)","A propane-powered space heater was used inside the cab of an elevated crane during workplace operations. The space heater leaked, resulting in an explosion and fire. The employee who was trapped inside the cab sustained burns to the face and hands.",0,1,0,0,Hospitalised,1,317,"Ignition of vapors, gases, or liquids","Fire, explosion or burn",,1520,"Heat (thermal) burns, unspecified",899,"Multiple body parts, n.e.c.",1643,Propane,3430,"Cranes, unspecified"
2015010323,2015-01-09,train,Colorado,238210,2382,"Building equipment (electrical, plumbing, HVAC)","An employee was exposed to falls in excess of four feet while working from a ladder to install a communications cable. The ladder slipped, resulting in the employee suffering a fractured tibia.",0,1,0,0,Hospitalised,0,4330,"Other fall to lower level, unspecified",Fall to lower level,,111,Fractures,513,Lower leg(s),740,"Ladders, unspecified",,
2015010333,2015-01-09,train,Texas,238130,2381,"Foundation, structure and exterior (incl. roofing, framing, concrete, steel)","Employees were installing wood trusses on the interior 4th floor level of a newly constructed multi-family dwelling when one employee fell approximately 9 feet to lower level. The injured employee's head struck a nail gun that he was operating when he hit the floor. The injury occurred on January 9, 2015, at approximately 1 p.m.",0,1,0,0,Hospitalised,1,4322,Fall through surface or existing opening 6 to 10 feet,Fall to lower level,6-10 ft,160,"Intracranial injuries, unspecified",111,Brain,6550,"Trusses, girders, beams-structurally attached, unspecified",,
2015010337,2015-01-10,train,Ohio,238990,2389,"Other specialty trades (site prep, demolition)",An employee crushed his finger between a 55 gallon drum and a flat bed trailer. The tip of his left index finger was later amputated at the hospital.,0,0,1,0,Amputation,0,642,Compressed or pinched by shifting objects or equipment,Caught in or crushed,,1311,Amputations,4422,Fingertip(s),2112,"Barrels, drums-except pressurized",483,Trailers
2015010368,2015-01-12,train,New Hampshire,236115,2361,Residential building,A temporary employee fell from the second story of a building under construction and was transported to the hospital with a back injury.,0,1,0,0,Hospitalised,1,4335,Other fall to lower level 21 to 25 feet,Fall to lower level,21-25 ft,1972,"Soreness, pain, hurt-nonspecified injury",320,"Back, including spine, spinal cord, unspecified",620,"Building, unspecified",,
2015010378,2015-01-12,train,Missouri,236116,2361,Residential building,A worker fell approximately 9 feet from a scaffold platform to the ground below sustaining a compound fracture to the jaw and a punctured liver. The scaffold plank bridged over the apartment breezeway and was supported by two walls that were approximately 6 feet apart. The platform was used in setting the rafter trusses.,0,1,0,0,Hospitalised,1,4332,Other fall to lower level 6 to 10 feet,Fall to lower level,6-10 ft,1832,"Fractures (except rib, trunk fractures) and internal injuries",899,"Multiple body parts, n.e.c.",6343,Scaffolds-staging supported by structure or other means,,
2015010382,2015-01-12,train,Alabama,238110,2381,"Foundation, structure and exterior (incl. roofing, framing, concrete, steel)","An employee was operating a lull (large fork lift) to move steel when he went off the road and drove over soft coal. The right side wheels left the ground and the truck tipped over, resulting in broken ribs and hospitalization.",0,1,0,0,Hospitalised,1,2731,"Jack-knifed or overturned, nonroadway",Vehicle or mobile equipment,,111,Fractures,310,"Chest, except internal location of diseases or disorders",8621,"Forklift, order picker, platform truck-powered",,
2015010393,2015-01-12,train,Louisiana,237130,2371,Utility systems,"Employee was testing a meter with an 8-ft shotgun stick in an energized zone and encountered an arc flash. This incident occurred at approximately 8:00 AM on January 12, 2015. The employee was hospitalized with 2nd and 3rd degree burns. The employee was authorized to be in the energized zone and was wearing flame retardant clothing, a hard hat, safety glasses and a high-visibility vest.",0,1,0,0,Hospitalised,1,5112,"Direct exposure to electricity, greater than 220 volts",Electrical,,1533,Third or fourth degree electrical burns,9999,Nonclassifiable,7199,"Handtools-nonpowered, n.e.c.",4417,"Switchboards, switches, fuses"
2015010403,2015-01-12,train,Oklahoma,238110,2381,"Foundation, structure and exterior (incl. roofing, framing, concrete, steel)",Employee partially amputated index finger with sledge hammer.,0,0,1,0,Amputation,0,6252,Injured by slipping or swinging object held by injured worker,Struck by or against object,,1311,Amputations,4429,"Finger(s), fingernail(s), n.e.c.",7154,"Sledges, sledgehammers",,
2015010405,2015-01-12,train,Oklahoma,238310,2383,"Building finishing (drywall, painting, flooring)",Employee fell from scaffolding at a height of approximately 15 to 20 feet.,0,1,0,0,Hospitalised,0,4334,Other fall to lower level 16 to 20 feet,Fall to lower level,16-20 ft,10,"Traumatic injuries and disorders, unspecified",9999,Nonclassifiable,6340,"Scaffolds-staging, unspecified",,
2015010409,2015-01-12,train,South Dakota,236115,2361,Residential building,"Employee sustained a puncture wound to his hand from an air nail gun while setting trusses in the vicinity of 8000 East Highway 42 in Sioux Falls, South Dakota.",0,1,0,0,Hospitalised,1,6242,Struck by discharged object or substance,Struck by or against object,,133,"Puncture wounds, except gunshot wounds",440,"Hand(s), unspecified",4212,"Nails, brads, tacks, nuts, bolts, washers",7235,Nail guns-powered
2015010184,2015-01-13,train,Texas,238210,2382,"Building equipment (electrical, plumbing, HVAC)","The injured employee was installing a back flow preventer in the vertical. The employee was using a chain fall and attempting to place a gasket between the piping. The chain fall ""jumped"" and the pipe landed on his left thumb, which was resting on the pipe's flange. The tip of this left thumb was amputated at the nail bed and could not be reattached. The incident occurred in the Ag Building fire pump room.",0,0,1,0,Amputation,0,620,"Struck by object or equipment, unspecified",Struck by or against object,,1311,Amputations,4422,Fingertip(s),4120,"Pipes, ducts, tubing, unspecified",,
2015010426,2015-01-13,train,Colorado,238160,2381,"Foundation, structure and exterior (incl. roofing, framing, concrete, steel)",An employee fell 12 feet from an aerial lift while laying ornamental sheet metal. The employee sustained a broken vertebrae.,0,1,0,0,Hospitalised,1,4333,Other fall to lower level 11 to 15 feet,Fall to lower level,11-15 ft,111,Fractures,320,"Back, including spine, spinal cord, unspecified",3467,"Aerial lifts, scissor lifts-except truck-mounted",,
2015010429,2015-01-13,train,Massachusetts,238220,2382,"Building equipment (electrical, plumbing, HVAC)","On or about 13 Jan 2015 at approximately 14:30hrs an employee fell approximately ten feet from a platform above a ceiling to the ground below suffering a fracture to his L1, cracked ribs, and broken teeth.",0,1,0,0,Hospitalised,1,4332,Other fall to lower level 6 to 10 feet,Fall to lower level,6-10 ft,111,Fractures,83,Head and trunk,6629,"Floor, n.e.c.",,
2015010440,2015-01-14,train,New Jersey,237110,2371,Utility systems,An employee was struck in the shin by the fitting of a water hose when it whipped around after being blown with air from a compressor.,0,1,0,0,Hospitalised,0,6249,"Struck by discharged or flying object, n.e.c.",Struck by or against object,,1972,"Soreness, pain, hurt-nonspecified injury",513,Lower leg(s),2122,Hoses,3991,Air compressors
2015010444,2015-01-14,train,Pennsylvania,237120,2371,Utility systems,An employee's foot was struck by an excavating machine. The employee was admitted to the hospital and stayed overnight for surgery.,0,1,0,0,Hospitalised,0,6210,"Struck by powered vehicle-nontransport, unspecified",Struck by or against object,,1972,"Soreness, pain, hurt-nonspecified injury",530,"Foot (feet), unspecified",3210,"Excavating machinery, unspecified",,
2015010445,2015-01-14,train,Florida,238160,2381,"Foundation, structure and exterior (incl. roofing, framing, concrete, steel)",An employee cleaning up roofing material fell 7 feet off the edge of a roof.,0,1,0,0,Hospitalised,1,4332,Other fall to lower level 6 to 10 feet,Fall to lower level,6-10 ft,10,"Traumatic injuries and disorders, unspecified",9999,Nonclassifiable,6544,Roof edges,,
2015010452,2015-01-14,train,Florida,238120,2381,"Foundation, structure and exterior (incl. roofing, framing, concrete, steel)","An employee was pinched between an aerial lift and walkway. While attempting to come down, the lift acted abnormally. It instead went up and pinched the employee between the lift and walkway.",0,1,0,0,Hospitalised,1,642,Compressed or pinched by shifting objects or equipment,Caught in or crushed,,10,"Traumatic injuries and disorders, unspecified",9999,Nonclassifiable,3467,"Aerial lifts, scissor lifts-except truck-mounted",660,"Floors, walkways, ground surfaces, unspecified"
2015010465,2015-01-14,train,New York,237110,2371,Utility systems,An employee fell 16 feet from a conical cover on a tank.,0,1,0,0,Hospitalised,1,4334,Other fall to lower level 16 to 20 feet,Fall to lower level,16-20 ft,10,"Traumatic injuries and disorders, unspecified",9999,Nonclassifiable,2118,"Tanks, bins, vats-nonconfined space",,
2015010466,2015-01-14,train,Texas,238290,2382,"Building equipment (electrical, plumbing, HVAC)","An employee, in the process of dismantling a scaffold, climbed the scaffold ladder to approximately 25 feet and stepped off onto a pipe header. Once on the pipe header, the employee slipped off and fell 25 feet to the ground below where he suffered a right arm compound fracture, a right elbow dislocation, and a fractured pelvis. A yo-yo tie off was available that the employee was not using. The incident occurred at the 100 rack at the enterprise construction site.",0,1,0,0,Hospitalised,1,4335,Other fall to lower level 21 to 25 feet,Fall to lower level,21-25 ft,1834,Fractures and dislocations,899,"Multiple body parts, n.e.c.",6340,"Scaffolds-staging, unspecified",,
2015010497,2015-01-15,train,Florida,238320,2383,"Building finishing (drywall, painting, flooring)",Employee fell from the roof while descending a ladder and was hospitalized.,0,1,0,0,Hospitalised,1,4330,"Other fall to lower level, unspecified",Fall to lower level,,10,"Traumatic injuries and disorders, unspecified",9999,Nonclassifiable,740,"Ladders, unspecified",,
2015010504,2015-01-15,train,Texas,238220,2382,"Building equipment (electrical, plumbing, HVAC)","Employee was bleeding the pressure off a weighted ball used to check stormwater pipes for leaks. The weight of the water inside the PVC pipe caused the ball to slide down the pipe. Employee grabbed the rope strap with his right hand and the strap's force and sharp edge severed his right-thumb tip. The finger tip was recovered and delivered to Parkland Hospital, but didn't have enough bone to be reattached.",0,1,0,0,Hospitalised,0,669,"Rubbed or abraded by friction or pressure, n.e.c.",Struck by or against object,,1311,Amputations,4422,Fingertip(s),4225,Strapping,,
2015010505,2015-01-15,train,Texas,238290,2382,"Building equipment (electrical, plumbing, HVAC)",An employee using a 10-foot A-frame ladder was knocked over when another employee opened a manual overhead door they were working on. The employee fell off the ladder and sustained multiple bone fractures on both forearms and wrists.,0,1,0,0,Hospitalised,0,4332,Other fall to lower level 6 to 10 feet,Fall to lower level,6-10 ft,111,Fractures,4839,"Wrist(s) and arm(s), n.e.c.",749,"Ladders, n.e.c.",6511,"Doors, except garage and vehicle"
2015010517,2015-01-16,train,Florida,238210,2382,"Building equipment (electrical, plumbing, HVAC)","An employee was installing a light fixture. He was shocked and fell from the 8-foot, A-frame ladder he was using, with his feet about 4 feet off the ground. When he was shocked, the ladder and he fell in opposite directions. He has some tingling in his right arm and restrictions for both arms until further evaluation.",0,1,0,0,Hospitalised,0,4331,Other fall to lower level less than 6 feet,Fall to lower level,Under 6 ft,193,"Electrocutions, electric shocks",6,BODY SYSTEMS,7422,Step ladders,2241,"Lamps, light fixtures"
2015010523,2015-01-16,train,Texas,238220,2382,"Building equipment (electrical, plumbing, HVAC)","Employee was lowering a boom lift while installing fire protection piping. The hydraulics failed, causing the employee to break the lower left leg.",0,1,0,0,Hospitalised,0,69,"Contact with objects and equipment, n.e.c.",Unknown (not usable),,111,Fractures,513,Lower leg(s),8422,"Boom truck, bucket or basket hoist truck",,
2015010532,2015-01-16,train,Georgia,237130,2371,Utility systems,Employee was struck by a PVC pipe while installing an underground television cable.,0,1,0,0,Hospitalised,0,620,"Struck by object or equipment, unspecified",Struck by or against object,,10,"Traumatic injuries and disorders, unspecified",9999,Nonclassifiable,4125,"Plastic, PVC, or rubber pipes and tubing",,
