"row_id","is_margin_risk","risk_reason"
"COST000194","N",""
"COST000195","N",""
"COST000196","N",""
"COST000197","N",""
"COST000198","N",""
"COST000199","N",""
"COST000200","N",""
"COST000201","N",""
"COST000202","N",""
"COST000203","N",""
"COST000204","N",""
"COST000205","N",""
"COST000206","Y","Repeated steel cost overrun with earned value lag."
"COST000207","N",""
"COST000208","N",""
"COST000209","N",""
"COST000210","N",""
"COST000211","N",""
"COST000212","N",""
"COST000213","N",""
"COST000214","N",""
"COST000215","Y","Crane cost escalation and low earned progress."
"COST000216","N",""
"COST000217","N",""
"COST000218","N",""
"COST000219","N",""
"COST000220","N",""
"COST000221","N",""
"COST000222","N",""
"COST000223","N",""
"COST000224","Y","Structural subcontract cost exceeds progress earned."
"COST000225","N",""
"COST000226","N",""
"COST000227","N",""
"COST000228","N",""
"COST000229","N",""
"COST000230","N",""
"COST000231","N",""
"COST000232","N",""
"COST000233","Y","Repeated steel cost overrun with earned value lag."
"COST000234","N",""
"COST000235","N",""
"COST000236","N",""
"COST000237","N",""
"COST000238","N",""
"COST000239","N",""
"COST000240","N",""
"COST000241","N",""
"COST000242","N",""
"COST000243","N",""
"COST000244","N",""
"COST000245","N",""
"COST000246","Y","Repeated steel cost overrun with earned value lag."
"COST000247","N",""
"COST000248","N",""
"COST000249","N",""
"COST000250","N",""
"COST000251","N",""
"COST000252","N",""
"COST000253","N",""
"COST000254","N",""
"COST000255","Y","Crane cost escalation and low earned progress."
"COST000256","N",""
"COST000257","N",""
"COST000258","N",""
"COST000259","N",""
"COST000260","N",""
"COST000261","N",""
"COST000262","N",""
"COST000263","N",""
"COST000264","Y","Structural subcontract cost exceeds progress earned."
"COST000265","N",""
"COST000266","N",""
"COST000267","N",""
"COST000268","N",""
"COST000269","N",""
"COST000270","N",""
"COST000271","N",""
"COST000272","N",""
"COST000273","Y","Repeated steel cost overrun with earned value lag."
"COST000274","N",""
"COST000275","N",""
"COST000276","N",""
"COST000277","N",""
"COST000278","N",""
"COST000279","N",""
"COST000280","N",""
"COST000281","N",""
"COST000282","N",""
"COST000283","N",""
"COST000284","N",""
"COST000285","N",""
"COST000286","Y","Repeated steel cost overrun with earned value lag."
"COST000287","N",""
"COST000288","N",""
"COST000289","N",""
"COST000290","N",""
"COST000291","N",""
"COST000292","N",""
"COST000293","N",""
"COST000294","N",""
"COST000295","Y","Crane cost escalation and low earned progress."
"COST000296","N",""
"COST000297","N",""
"COST000298","N",""
"COST000299","N",""
"COST000300","N",""
"COST000301","N",""
"COST000302","N",""
"COST000303","N",""
"COST000304","Y","Structural subcontract cost exceeds progress earned."
"COST000305","N",""
"COST000306","N",""
"COST000307","N",""
"COST000308","N",""
"COST000309","N",""
"COST000310","N",""
"COST000311","N",""
"COST000312","N",""
"COST000313","Y","Repeated steel cost overrun with earned value lag."
"COST000314","N",""
"COST000315","N",""
"COST000316","N",""
"COST000317","N",""
"COST000318","N",""
"COST000319","N",""
"COST000320","N",""
"COST000321","N",""
"COST000322","N",""
"COST000323","N",""
"COST000324","N",""
"COST000325","N",""
"COST000326","Y","Repeated steel cost overrun with earned value lag."
"COST000327","N",""
"COST000328","N",""
"COST000329","N",""
"COST000330","N",""
"COST000331","N",""
"COST000332","N",""
"COST000333","N",""
"COST000334","N",""
"COST000335","Y","Crane cost escalation and low earned progress."
"COST000336","N",""
"COST000337","N",""
"COST000338","N",""
"COST000339","N",""
"COST000340","N",""
"COST000341","N",""
"COST000342","N",""
"COST000343","N",""
"COST000344","Y","Structural subcontract cost exceeds progress earned."
"COST000345","N",""
"COST000346","N",""
"COST000347","N",""
"COST000348","N",""
"COST000349","N",""
"COST000350","N",""
"COST000351","N",""
"COST000352","N",""
"COST000353","Y","Repeated steel cost overrun with earned value lag."
"COST000354","N",""
"COST000355","N",""
"COST000356","N",""
"COST000357","N",""
"COST000358","N",""
"COST000359","N",""
"COST000360","N",""
"COST000361","N",""
"COST000362","N",""
"COST000363","N",""
"COST000364","N",""
"COST000365","N",""
"COST000366","Y","Repeated steel cost overrun with earned value lag."
"COST000367","N",""
"COST000368","N",""
"COST000369","N",""
"COST000370","N",""
"COST000371","N",""
"COST000372","N",""
"COST000373","N",""
"COST000374","N",""
"COST000375","Y","Crane cost escalation and low earned progress."
"COST000376","N",""
"COST000377","N",""
"COST000378","N",""
"COST000379","N",""
"COST000380","N",""
"COST000381","N",""
"COST000382","N",""
"COST000383","N",""
"COST000384","Y","Structural subcontract cost exceeds progress earned."
"COST000385","N",""
"COST000386","N",""
"COST000387","N",""
"COST000388","N",""
"COST000389","N",""
"COST000390","N",""
"COST000391","N",""
"COST000392","N",""
"COST000393","Y","Repeated steel cost overrun with earned value lag."
"COST000394","N",""
"COST000395","N",""
"COST000396","N",""
"COST000397","N",""
"COST000398","N",""
"COST000399","N",""
"COST000400","N",""
"COST000401","N",""
"COST000402","N",""
"COST000403","N",""
"COST000404","N",""
"COST000405","N",""
"COST000406","Y","Repeated steel cost overrun with earned value lag."
"COST000407","N",""
"COST000408","N",""
"COST000409","N",""
"COST000410","N",""
"COST000411","N",""
"COST000412","N",""
"COST000413","N",""
"COST000414","N",""
"COST000415","Y","Crane cost escalation and low earned progress."
"COST000416","N",""
"COST000417","N",""
"COST000418","N",""
"COST000419","N",""
"COST000420","N",""
"COST000421","N",""
"COST000422","N",""
"COST000423","N",""
"COST000424","Y","Structural subcontract cost exceeds progress earned."
"COST000425","N",""
"COST000426","N",""
"COST000427","N",""
"COST000428","N",""
"COST000429","N",""
"COST000430","N",""
"COST000431","N",""
"COST000432","N",""
"COST000433","Y","Repeated steel cost overrun with earned value lag."
"COST000434","N",""
"COST000435","N",""
"COST000436","N",""
"COST000437","N",""
"COST000438","N",""
"COST000439","N",""
"COST000440","N",""
"COST000441","N",""
"COST000442","N",""
"COST000443","N",""
"COST000444","N",""
"COST000445","N",""
"COST000446","Y","Repeated steel cost overrun with earned value lag."
"COST000447","N",""
"COST000448","N",""
"COST000449","N",""
"COST000450","N",""
"COST000451","N",""
"COST000452","N",""
"COST000453","N",""
"COST000454","N",""
"COST000455","Y","Crane cost escalation and low earned progress."
"COST000456","N",""
"COST000457","N",""
"COST000458","N",""
"COST000459","N",""
"COST000460","N",""
"COST000461","N",""
"COST000462","N",""
"COST000463","N",""
"COST000464","Y","Structural subcontract cost exceeds progress earned."
"COST000465","N",""
"COST000466","N",""
"COST000467","N",""
"COST000468","N",""
"COST000469","N",""
"COST000470","N",""
"COST000471","N",""
"COST000472","N",""
"COST000473","Y","Repeated steel cost overrun with earned value lag."
"COST000474","N",""
"COST000475","N",""
"COST000476","N",""
"COST000477","N",""
"COST000478","N",""
"COST000479","N",""
"COST000480","N",""
"COST000481","N",""
"COST000482","N",""
"COST000483","N",""
"COST000484","N",""
"COST000485","N",""
"COST000486","Y","Repeated steel cost overrun with earned value lag."
"COST000487","N",""
"COST000488","N",""
"COST000489","N",""
"COST000490","N",""
"COST000491","N",""
"COST000492","N",""
"COST000493","N",""
"COST000494","N",""
"COST000495","Y","Crane cost escalation and low earned progress."
"COST000496","N",""
"COST000497","N",""
"COST000498","N",""
"COST000499","N",""
"COST000500","N",""
"COST000501","N",""
"COST000502","N",""
"COST000503","N",""
"COST000504","Y","Structural subcontract cost exceeds progress earned."
"COST000505","N",""
"COST000506","N",""
"COST000507","N",""
"COST000508","N",""
"COST000509","N",""
"COST000510","N",""
"COST000511","N",""
"COST000512","N",""
"COST000513","Y","Repeated steel cost overrun with earned value lag."
"COST000514","N",""
"COST000515","N",""
"COST000516","N",""
"COST000517","N",""
"COST000518","N",""
"COST000519","N",""
"COST000520","N",""
"COST000521","N",""
"COST000522","N",""
"COST000523","N",""
"COST000524","N",""
"COST000525","N",""
"COST000526","Y","Repeated steel cost overrun with earned value lag."
"COST000527","N",""
"COST000528","N",""
"COST000529","N",""
"COST000530","N",""
"COST000531","N",""
"COST000532","N",""
"COST000533","N",""
"COST000534","N",""
"COST000535","Y","Crane cost escalation and low earned progress."
"COST000536","N",""
"COST000537","N",""
"COST000538","N",""
"COST000539","N",""
"COST000540","N",""
"COST000541","N",""
"COST000542","N",""
"COST000543","N",""
"COST000544","Y","Structural subcontract cost exceeds progress earned."
"COST000545","N",""
"COST000546","N",""
"COST000547","N",""
"COST000548","N",""
"COST000549","N",""
"COST000550","N",""
"COST000551","N",""
"COST000552","N",""
"COST000553","Y","Repeated steel cost overrun with earned value lag."
"COST000554","N",""
"COST000555","N",""
"COST000556","N",""
"COST000557","N",""
"COST000558","N",""
"COST000559","N",""
"COST000560","N",""
"COST000561","N",""
"COST000562","N",""
"COST000563","N",""
"COST000564","N",""
"COST000565","N",""
"COST000566","Y","Repeated steel cost overrun with earned value lag."
"COST000567","N",""
"COST000568","N",""
"COST000569","N",""
"COST000570","N",""
"COST000571","N",""
"COST000572","N",""
"COST000573","N",""
"COST000574","N",""
"COST000575","Y","Crane cost escalation and low earned progress."
"COST000576","N",""
"COST000577","N",""
"COST000578","N",""
"COST000579","N",""
"COST000580","N",""
"COST000581","N",""
"COST000582","N",""
"COST000583","N",""
"COST000584","Y","Structural subcontract cost exceeds progress earned."
"COST000585","N",""
"COST000586","N",""
"COST000587","N",""
"COST000588","N",""
"COST000589","N",""
"COST000590","N",""
"COST000591","N",""
"COST000592","N",""
"COST000593","Y","Repeated steel cost overrun with earned value lag."
"COST000594","N",""
"COST000595","N",""
"COST000596","N",""
"COST000597","N",""
"COST000598","N",""
"COST000599","N",""
"COST000600","N",""
"COST000601","N",""
"COST000602","N",""
"COST000603","N",""
"COST000604","N",""
"COST000605","N",""
"COST000606","Y","Repeated steel cost overrun with earned value lag."
"COST000607","N",""
"COST000608","N",""
"COST000609","N",""
"COST000610","N",""
"COST000611","N",""
"COST000612","N",""
"COST000613","N",""
"COST000614","N",""
"COST000615","Y","Crane cost escalation and low earned progress."
"COST000616","N",""
"COST000617","N",""
"COST000618","N",""
"COST000619","N",""
"COST000620","N",""
"COST000621","N",""
"COST000622","N",""
"COST000623","N",""
"COST000624","Y","Structural subcontract cost exceeds progress earned."
"COST000625","N",""
"COST000626","N",""
"COST000627","N",""
"COST000628","N",""
"COST000629","N",""
"COST000630","N",""
"COST000631","N",""
"COST000632","N",""
"COST000633","Y","Repeated steel cost overrun with earned value lag."
"COST000634","N",""
"COST000635","N",""
"COST000636","N",""
"COST000637","N",""
"COST000638","N",""
"COST000639","N",""
"COST000640","N",""
"COST000641","N",""
"COST000642","N",""
"COST000643","N",""
"COST000644","N",""
"COST000645","N",""
"COST000646","Y","Repeated steel cost overrun with earned value lag."
"COST000647","N",""
"COST000648","N",""
"COST000649","N",""
"COST000650","N",""
"COST000651","N",""
"COST000652","N",""
"COST000653","N",""
"COST000654","N",""
"COST000655","Y","Crane cost escalation and low earned progress."
"COST000656","N",""
"COST000657","N",""
"COST000658","N",""
"COST000659","N",""
"COST000660","N",""
"COST000661","N",""
"COST000662","N",""
"COST000663","N",""
"COST000664","Y","Structural subcontract cost exceeds progress earned."
"COST000665","N",""
"COST000666","N",""
"COST000667","N",""
"COST000668","N",""
"COST000669","N",""
"COST000670","N",""
"COST000671","N",""
"COST000672","N",""
"COST000673","Y","Repeated steel cost overrun with earned value lag."
"COST000674","N",""
"COST000675","N",""
"COST000676","N",""
"COST000677","N",""
"COST000678","N",""
"COST000679","N",""
"COST000680","N",""
"COST000681","N",""
"COST000682","N",""
"COST000683","N",""
"COST000684","N",""
"COST000685","N",""
"COST000686","Y","Repeated steel cost overrun with earned value lag."
"COST000687","N",""
"COST000688","N",""
"COST000689","N",""
"COST000690","N",""
"COST000691","N",""
"COST000692","N",""
"COST000693","N",""
"COST000694","N",""
"COST000695","Y","Crane cost escalation and low earned progress."
"COST000696","N",""
"COST000697","N",""
"COST000698","N",""
"COST000699","N",""
"COST000700","N",""
"COST000701","N",""
"COST000702","N",""
"COST000703","N",""
"COST000704","Y","Structural subcontract cost exceeds progress earned."
"COST000705","N",""
"COST000706","N",""
"COST000707","N",""
"COST000708","N",""
"COST000709","N",""
"COST000710","N",""
"COST000711","N",""
"COST000712","N",""
"COST000713","Y","Repeated steel cost overrun with earned value lag."
"COST000714","N",""
"COST000715","N",""
"COST000716","N",""
"COST000717","N",""
"COST000718","N",""
"COST000719","N",""
"COST000720","N",""
"COST000721","N",""
"COST000722","N",""
"COST000723","N",""
"COST000724","N",""
"COST000725","N",""
"COST000726","Y","Repeated steel cost overrun with earned value lag."
"COST000727","N",""
"COST000728","N",""
"COST000729","N",""
"COST000730","N",""
"COST000731","N",""
"COST000732","N",""
"COST000733","N",""
"COST000734","N",""
"COST000735","Y","Crane cost escalation and low earned progress."
"COST000736","N",""
"COST000737","N",""
"COST000738","N",""
"COST000739","N",""
"COST000740","N",""
"COST000741","N",""
"COST000742","N",""
"COST000743","N",""
"COST000744","Y","Structural subcontract cost exceeds progress earned."
"COST000745","N",""
"COST000746","N",""
"COST000747","N",""
"COST000748","N",""
"COST000749","N",""
"COST000750","N",""
"COST000751","N",""
"COST000752","N",""
"COST000753","Y","Repeated steel cost overrun with earned value lag."
"COST000754","N",""
"COST000755","N",""
"COST000756","N",""
"COST000757","N",""
"COST000758","N",""
"COST000759","N",""
"COST000760","N",""
"COST000761","N",""
"COST000762","N",""
"COST000763","N",""
"COST000764","N",""
"COST000765","N",""
"COST000766","Y","Repeated steel cost overrun with earned value lag."
"COST000767","N",""
"COST000768","N",""
"COST000769","N",""
"COST000770","N",""
"COST000771","N",""
"COST000772","N",""
"COST000773","N",""
"COST000774","N",""
"COST000775","Y","Crane cost escalation and low earned progress."
"COST000776","N",""
"COST000777","N",""
"COST000778","N",""
"COST000779","N",""
"COST000780","N",""
"COST000781","N",""
"COST000782","N",""
"COST000783","N",""
"COST000784","Y","Structural subcontract cost exceeds progress earned."
"COST000785","N",""
"COST000786","N",""
"COST000787","N",""
"COST000788","N",""
"COST000789","N",""
"COST000790","N",""
"COST000791","N",""
"COST000792","N",""
"COST000793","Y","Repeated steel cost overrun with earned value lag."
"COST000794","N",""
"COST000795","N",""
"COST000796","N",""
"COST000797","N",""
"COST000798","N",""
"COST000799","N",""
"COST000800","N",""
"COST000801","N",""
"COST000802","N",""
"COST000803","N",""
"COST000804","N",""
"COST000805","N",""
"COST000806","Y","Repeated steel cost overrun with earned value lag."
"COST000807","N",""
"COST000808","N",""
"COST000809","N",""
"COST000810","N",""
"COST000811","N",""
"COST000812","N",""
"COST000813","N",""
"COST000814","N",""
"COST000815","Y","Crane cost escalation and low earned progress."
"COST000816","N",""
"COST000817","N",""
"COST000818","N",""
"COST000819","N",""
"COST000820","N",""
"COST000821","N",""
"COST000822","N",""
"COST000823","N",""
"COST000824","Y","Structural subcontract cost exceeds progress earned."
"COST000825","N",""
"COST000826","N",""
"COST000827","N",""
"COST000828","N",""
"COST000829","N",""
"COST000830","N",""
"COST000831","N",""
"COST000832","N",""
"COST000833","Y","Repeated steel cost overrun with earned value lag."
"COST000834","N",""
"COST000835","N",""
"COST000836","N",""
"COST000837","N",""
"COST000838","N",""
"COST000839","N",""
"COST000840","N",""
"COST000841","N",""
"COST000842","N",""
"COST000843","N",""
"COST000844","N",""
"COST000845","N",""
"COST000846","Y","Repeated steel cost overrun with earned value lag."
"COST000847","N",""
"COST000848","N",""
"COST000849","N",""
"COST000850","N",""
"COST000851","N",""
"COST000852","N",""
"COST000853","N",""
"COST000854","N",""
"COST000855","Y","Crane cost escalation and low earned progress."
"COST000856","N",""
"COST000857","N",""
"COST000858","N",""
"COST000859","N",""
"COST000860","N",""
"COST000861","N",""
"COST000862","N",""
"COST000863","N",""
"COST000864","Y","Structural subcontract cost exceeds progress earned."
"COST000865","N",""
"COST000866","N",""
"COST000867","N",""
"COST000868","N",""
"COST000869","N",""
"COST000870","N",""
"COST000871","N",""
"COST000872","N",""
"COST000873","Y","Repeated steel cost overrun with earned value lag."
"COST000874","N",""
"COST000875","N",""
"COST000876","N",""
"COST000877","N",""
"COST000878","N",""
"COST000879","N",""
"COST000880","N",""
"COST000881","N",""
"COST000882","N",""
"COST000883","N",""
"COST000884","N",""
"COST000885","N",""
"COST000886","Y","Repeated steel cost overrun with earned value lag."
"COST000887","N",""
"COST000888","N",""
"COST000889","N",""
"COST000890","N",""
"COST000891","N",""
"COST000892","N",""
"COST000893","N",""
"COST000894","N",""
"COST000895","Y","Crane cost escalation and low earned progress."
"COST000896","N",""
"COST000897","N",""
"COST000898","N",""
"COST000899","N",""
"COST000900","N",""
"COST000901","N",""
"COST000902","N",""
"COST000903","N",""
"COST000904","Y","Structural subcontract cost exceeds progress earned."
"COST000905","N",""
"COST000906","N",""
"COST000907","N",""
"COST000908","N",""
"COST000909","N",""
"COST000910","N",""
"COST000911","N",""
"COST000912","N",""
"COST000913","Y","Repeated steel cost overrun with earned value lag."
"COST000914","N",""
"COST000915","N",""
"COST000916","N",""
"COST000917","N",""
"COST000918","N",""
"COST000919","N",""
"COST000920","N",""
"COST000921","N",""
"COST000922","N",""
"COST000923","N",""
"COST000924","N",""
"COST000925","N",""
"COST000926","Y","Repeated steel cost overrun with earned value lag."
"COST000927","N",""
"COST000928","N",""
"COST000929","N",""
"COST000930","N",""
"COST000931","N",""
"COST000932","N",""
"COST000933","N",""
"COST000934","N",""
"COST000935","Y","Crane cost escalation and low earned progress."
"COST000936","N",""
"COST000937","N",""
"COST000938","N",""
"COST000939","N",""
"COST000940","N",""
"COST000941","N",""
"COST000942","N",""
"COST000943","N",""
"COST000944","Y","Structural subcontract cost exceeds progress earned."
"COST000945","N",""
"COST000946","N",""
"COST000947","N",""
"COST000948","N",""
"COST000949","N",""
"COST000950","N",""
"COST000951","N",""
"COST000952","N",""
"COST000953","Y","Repeated steel cost overrun with earned value lag."
"COST000954","N",""
"COST000955","N",""
"COST000956","N",""
"COST000957","N",""
"COST000958","N",""
"COST000959","N",""
"COST000960","N",""
"COST000961","N",""
"COST000962","N",""
"COST000963","N",""
"COST000964","N",""
"COST000965","N",""
"COST000966","Y","Repeated steel cost overrun with earned value lag."
"COST000967","N",""
"COST000968","N",""
"COST000969","N",""
"COST000970","N",""
"COST000971","N",""
"COST000972","N",""
"COST000973","N",""
"COST000974","N",""
"COST000975","Y","Crane cost escalation and low earned progress."
"COST000976","N",""
"COST000977","N",""
"COST000978","N",""
"COST000979","N",""
"COST000980","N",""
"COST000981","N",""
"COST000982","N",""
"COST000983","N",""
"COST000984","Y","Structural subcontract cost exceeds progress earned."
"COST000985","N",""
"COST000986","N",""
"COST000987","N",""
"COST000988","N",""
"COST000989","N",""
"COST000990","N",""
"COST000991","N",""
"COST000992","N",""
"COST000993","Y","Repeated steel cost overrun with earned value lag."
"COST000994","N",""
"COST000995","N",""
"COST000996","N",""
"COST000997","N",""
"COST000998","N",""
"COST000999","N",""
"COST001000","N",""
"COST001001","N",""
"COST001002","N",""
"COST001003","N",""
"COST001004","N",""
"COST001005","N",""
"COST001006","Y","Repeated steel cost overrun with earned value lag."
"COST001007","N",""
"COST001008","N",""
"COST001009","N",""
"COST001010","N",""
"COST001011","N",""
"COST001012","N",""
"COST001013","N",""
"COST001014","N",""
"COST001015","Y","Crane cost escalation and low earned progress."
"COST001016","N",""
"COST001017","N",""
"COST001018","N",""
"COST001019","N",""
"COST001020","N",""
"COST001021","N",""
"COST001022","N",""
"COST001023","N",""
"COST001024","Y","Structural subcontract cost exceeds progress earned."
"COST001025","N",""
"COST001026","N",""
"COST001027","N",""
"COST001028","N",""
"COST001029","N",""
"COST001030","N",""
"COST001031","N",""
"COST001032","N",""
"COST001033","Y","Repeated steel cost overrun with earned value lag."
"COST001034","N",""
"COST001035","N",""
"COST001036","N",""
"COST001037","N",""
"COST001038","N",""
"COST001039","N",""
"COST001040","N",""
"COST001041","N",""
"COST001042","N",""
"COST001043","N",""
"COST001044","N",""
"COST001045","N",""
"COST001046","Y","Repeated steel cost overrun with earned value lag."
"COST001047","N",""
"COST001048","N",""
"COST001049","N",""
"COST001050","N",""
"COST001051","N",""
"COST001052","N",""
"COST001053","N",""
"COST001054","N",""
"COST001055","Y","Crane cost escalation and low earned progress."
"COST001056","N",""
"COST001057","N",""
"COST001058","N",""
"COST001059","N",""
"COST001060","N",""
"COST001061","N",""
"COST001062","N",""
"COST001063","N",""
"COST001064","Y","Structural subcontract cost exceeds progress earned."
"COST001065","N",""
"COST001066","N",""
"COST001067","N",""
"COST001068","N",""
"COST001069","N",""
"COST001070","N",""
"COST001071","N",""
"COST001072","N",""
"COST001073","Y","Repeated steel cost overrun with earned value lag."
"COST001074","N",""
"COST001075","N",""
"COST001076","N",""
"COST001077","N",""
"COST001078","N",""
"COST001079","N",""
"COST001080","N",""
"COST001081","N",""
"COST001082","N",""
"COST001083","N",""
"COST001084","N",""
"COST001085","N",""
"COST001086","Y","Repeated steel cost overrun with earned value lag."
"COST001087","N",""
"COST001088","N",""
"COST001089","N",""
"COST001090","N",""
"COST001091","N",""
"COST001092","N",""
"COST001093","N",""
"COST001094","N",""
"COST001095","Y","Crane cost escalation and low earned progress."
"COST001096","N",""
"COST001097","N",""
"COST001098","N",""
"COST001099","N",""
"COST001100","N",""
"COST001101","N",""
"COST001102","N",""
"COST001103","N",""
"COST001104","Y","Structural subcontract cost exceeds progress earned."
"COST001105","N",""
"COST001106","N",""
"COST001107","N",""
"COST001108","N",""
"COST001109","N",""
"COST001110","N",""
"COST001111","N",""
"COST001112","N",""
"COST001113","Y","Repeated steel cost overrun with earned value lag."
"COST001114","N",""
"COST001115","N",""
"COST001116","N",""
"COST001117","N",""
"COST001118","N",""
"COST001119","N",""
"COST001120","N",""
"COST001121","N",""
"COST001122","N",""
"COST001123","N",""
"COST001124","N",""
"COST001125","N",""
"COST001126","Y","Repeated steel cost overrun with earned value lag."
"COST001127","N",""
"COST001128","N",""
"COST001129","N",""
"COST001130","N",""
"COST001131","N",""
"COST001132","N",""
"COST001133","N",""
"COST001134","N",""
"COST001135","Y","Crane cost escalation and low earned progress."
"COST001136","N",""
"COST001137","N",""
"COST001138","N",""
"COST001139","N",""
"COST001140","N",""
"COST001141","N",""
"COST001142","N",""
"COST001143","N",""
"COST001144","Y","Structural subcontract cost exceeds progress earned."
"COST001145","N",""
"COST001146","N",""
"COST001147","N",""
"COST001148","N",""
"COST001149","N",""
"COST001150","N",""
"COST001151","N",""
"COST001152","N",""
"COST001153","Y","Repeated steel cost overrun with earned value lag."
"COST001154","N",""
"COST001155","N",""
"COST001156","N",""
"COST001157","N",""
"COST001158","N",""
"COST001159","N",""
"COST001160","N",""
"COST001161","N",""
"COST001162","N",""
"COST001163","N",""
"COST001164","N",""
"COST001165","N",""
"COST001166","Y","Repeated steel cost overrun with earned value lag."
"COST001167","N",""
"COST001168","N",""
"COST001169","N",""
"COST001170","N",""
"COST001171","N",""
"COST001172","N",""
"COST001173","N",""
"COST001174","N",""
"COST001175","Y","Crane cost escalation and low earned progress."
"COST001176","N",""
"COST001177","N",""
"COST001178","N",""
"COST001179","N",""
"COST001180","N",""
"COST001181","N",""
"COST001182","N",""
"COST001183","N",""
"COST001184","Y","Structural subcontract cost exceeds progress earned."
"COST001185","N",""
"COST001186","N",""
"COST001187","N",""
"COST001188","N",""
"COST001189","N",""
"COST001190","N",""
