"row_id","project_id","cost_code","period_month","budgeted_cost","earned_value","actual_cost","cpi","spi"
"COST000036","PRJ001","MAT-CEM","2025-09-01","10100000","9226549","11030125","0.84","0.91"
"COST000037","PRJ001","MAT-BLK","2025-10-01","7200000","6345950","7895031","0.8","0.88"
"COST000038","PRJ001","EQP-PUMP","2025-11-01","8600000","8527806","7624248","1.12","0.99"
"COST000039","PRJ001","EQP-SCAF","2025-12-01","16200000","15191643","14387578","1.06","0.94"
"COST000040","PRJ001","SUB-FACADE","2026-01-01","16200000","16258117","16679079","0.97","1"
"COST000041","PRJ002","MAT-AGG","2024-11-01","5600000","5993715","5721040","1.05","1.07"
"COST000042","PRJ002","EQP-CRANE","2024-12-01","8500000","7805178","8575738","0.91","0.92"
"COST000043","PRJ002","EQP-GEN","2025-01-01","6200000","5911895","6690774","0.88","0.95"
"COST000044","PRJ002","SUB-MEP","2025-02-01","10600000","11244850","10876707","1.03","1.06"
"COST000045","PRJ002","SUB-EXT","2025-03-01","12800000","13271730","12713477","1.04","1.04"
"COST000046","PRJ002","MAT-STEEL","2025-04-01","3500000","2532272","4705823","0.54","0.72"
"COST000047","PRJ002","LAB-CARP","2025-05-01","15100000","13480123","16516594","0.82","0.89"
"COST000048","PRJ002","LAB-FIN","2025-06-01","11000000","10489503","10928029","0.96","0.95"
"COST000049","PRJ002","MAT-STEEL","2025-07-01","6400000","6619195","5889166","1.12","1.03"
"COST000050","PRJ002","MAT-FIN","2025-08-01","16800000","15420055","15993369","0.96","0.92"
"COST000051","PRJ002","EQP-EARTH","2025-09-01","5000000","4482672","4453660","1.01","0.9"
"COST000052","PRJ002","SUB-STRC","2025-10-01","12000000","12744104","12528915","1.02","1.06"
"COST000053","PRJ002","SUB-WTR","2025-11-01","14100000","13374042","13566300","0.99","0.95"
"COST000054","PRJ002","OVH-QA","2025-12-01","6900000","6891497","7166020","0.96","1"
"COST000055","PRJ002","EQP-CRANE","2026-01-01","1700000","1245940","2331295","0.53","0.73"
"COST000056","PRJ002","LAB-MEP","2026-02-01","900000","927670","792553","1.17","1.03"
"COST000057","PRJ002","MAT-CEM","2026-03-01","5300000","5436999","5256824","1.03","1.03"
"COST000058","PRJ002","MAT-BLK","2026-04-01","4800000","4860734","4713856","1.03","1.01"
"COST000059","PRJ002","EQP-PUMP","2026-05-01","10000000","10085426","9222192","1.09","1.01"
"COST000060","PRJ002","EQP-SCAF","2026-06-01","12500000","11261954","13663840","0.82","0.9"
"COST000061","PRJ002","SUB-FACADE","2026-07-01","2600000","2348076","2318206","1.01","0.9"
"COST000062","PRJ002","OVH-SITE","2026-08-01","3900000","3699136","3996060","0.93","0.95"
"COST000063","PRJ002","OVH-UTIL","2026-09-01","6800000","7163306","6074245","1.18","1.05"
"COST000064","PRJ002","SUB-STRC","2024-10-01","5300000","4193304","7023409","0.6","0.79"
"COST000065","PRJ002","LAB-SAF","2024-11-01","13500000","12888009","14040670","0.92","0.95"
"COST000066","PRJ002","MAT-AGG","2024-12-01","1800000","1736886","1664056","1.04","0.96"
"COST000067","PRJ002","EQP-CRANE","2025-01-01","17200000","18244128","16861114","1.08","1.06"
"COST000068","PRJ002","EQP-GEN","2025-02-01","16700000","16949991","16458411","1.03","1.01"
"COST000069","PRJ002","SUB-MEP","2025-03-01","3600000","3604268","3728204","0.97","1"
"COST000070","PRJ002","SUB-EXT","2025-04-01","15100000","15275987","13842571","1.1","1.01"
"COST000071","PRJ002","OVH-HSE","2025-05-01","11800000","11861862","12246260","0.97","1.01"
"COST000072","PRJ002","LAB-CARP","2025-06-01","7500000","7226242","7519597","0.96","0.96"
"COST000073","PRJ002","MAT-STEEL","2025-07-01","1700000","1118691","2319227","0.48","0.66"
"COST000074","PRJ002","MAT-STEEL","2025-08-01","15800000","16070190","16167081","0.99","1.02"
"COST000075","PRJ002","MAT-FIN","2025-09-01","10000000","9697365","10025117","0.97","0.97"
"COST000076","PRJ002","EQP-EARTH","2025-10-01","9800000","9172077","9932008","0.92","0.94"
"COST000077","PRJ002","SUB-STRC","2025-11-01","8200000","7433350","7605406","0.98","0.91"
"COST000078","PRJ002","SUB-WTR","2025-12-01","8900000","9518835","9360426","1.02","1.07"
"COST000079","PRJ002","OVH-QA","2026-01-01","13400000","13575867","13025954","1.04","1.01"
"COST000080","PRJ002","OVH-ADM","2026-02-01","2700000","2723892","2499739","1.09","1.01"
"COST000081","PRJ003","EQP-SCAF","2024-12-01","13000000","13747109","11956468","1.15","1.06"
"COST000082","PRJ003","SUB-FACADE","2025-01-01","15100000","15679314","14162719","1.11","1.04"
"COST000083","PRJ003","OVH-SITE","2025-02-01","10200000","10167056","10056235","1.01","1"
"COST000084","PRJ003","OVH-UTIL","2025-03-01","17600000","17990020","16572836","1.09","1.02"
"COST000085","PRJ003","LAB-REBR","2025-04-01","9100000","8966945","9167120","0.98","0.99"
"COST000086","PRJ003","MAT-STEEL","2025-05-01","2200000","1677087","2905359","0.58","0.76"
"COST000087","PRJ003","MAT-AGG","2025-06-01","3200000","2976567","3415926","0.87","0.93"
"COST000088","PRJ003","EQP-CRANE","2025-07-01","1300000","1365742","1423362","0.96","1.05"
"COST000089","PRJ003","EQP-GEN","2025-08-01","10200000","10858401","10084837","1.08","1.06"
"COST000090","PRJ003","SUB-MEP","2025-09-01","5600000","5783547","5066682","1.14","1.03"
"COST000091","PRJ003","SUB-EXT","2025-10-01","8000000","8426454","7387859","1.14","1.05"
"COST000092","PRJ003","OVH-HSE","2025-11-01","15500000","14697599","14678145","1","0.95"
"COST000093","PRJ003","LAB-CARP","2025-12-01","6100000","5855559","5845957","1","0.96"
"COST000094","PRJ003","LAB-FIN","2026-01-01","4500000","4141322","4926018","0.84","0.92"
"COST000095","PRJ003","EQP-CRANE","2026-02-01","3400000","2327439","4550041","0.51","0.68"
"COST000096","PRJ003","MAT-FIN","2026-03-01","9200000","8348001","8695581","0.96","0.91"
"COST000097","PRJ003","EQP-EARTH","2026-04-01","18000000","18785778","16945986","1.11","1.04"
"COST000098","PRJ003","SUB-STRC","2026-05-01","6400000","6758427","6838688","0.99","1.06"
"COST000099","PRJ003","SUB-WTR","2026-06-01","3000000","2743192","2980405","0.92","0.91"
"COST000100","PRJ003","OVH-QA","2026-07-01","6400000","6905631","6711567","1.03","1.08"
"COST000101","PRJ003","OVH-ADM","2026-08-01","14000000","15048107","14392310","1.05","1.07"
"COST000102","PRJ003","LAB-MEP","2026-09-01","8500000","8393320","8799567","0.95","0.99"
"COST000103","PRJ003","MAT-CEM","2024-10-01","17300000","16934785","18409268","0.92","0.98"
"COST000104","PRJ003","SUB-STRC","2024-11-01","1900000","1252633","2535548","0.49","0.66"
"COST000105","PRJ003","EQP-PUMP","2024-12-01","11800000","10918428","12534522","0.87","0.93"
"COST000106","PRJ003","EQP-SCAF","2025-01-01","4000000","3656422","3994303","0.92","0.91"
"COST000107","PRJ003","SUB-FACADE","2025-02-01","2600000","2364736","2664194","0.89","0.91"
"COST000108","PRJ003","OVH-SITE","2025-03-01","2900000","2592432","2635081","0.98","0.89"
"COST000109","PRJ003","OVH-UTIL","2025-04-01","8500000","8349849","7654053","1.09","0.98"
"COST000110","PRJ003","LAB-REBR","2025-05-01","18000000","18946205","16778123","1.13","1.05"
"COST000111","PRJ003","LAB-SAF","2025-06-01","16100000","16484238","15503486","1.06","1.02"
"COST000112","PRJ003","MAT-AGG","2025-07-01","17300000","17627525","15232427","1.16","1.02"
"COST000113","PRJ003","MAT-STEEL","2025-08-01","1100000","735850","1426220","0.52","0.67"
"COST000114","PRJ003","EQP-GEN","2025-09-01","11500000","11817473","11286037","1.05","1.03"
"COST000115","PRJ003","SUB-MEP","2025-10-01","7800000","7642751","7805348","0.98","0.98"
"COST000116","PRJ003","SUB-EXT","2025-11-01","11300000","10624873","9969183","1.07","0.94"
"COST000117","PRJ003","OVH-HSE","2025-12-01","1000000","1024622","896409","1.14","1.02"
"COST000118","PRJ003","LAB-CARP","2026-01-01","17700000","15841249","16060295","0.99","0.89"
"COST000119","PRJ003","LAB-FIN","2026-02-01","12700000","13619975","12888688","1.06","1.07"
"COST000120","PRJ003","MAT-STEEL","2026-03-01","10000000","8901622","10004737","0.89","0.89"
"COST000121","PRJ004","OVH-QA","2025-01-01","15600000","14095532","16301380","0.86","0.9"
"COST000122","PRJ004","OVH-ADM","2025-02-01","17000000","17039788","17987342","0.95","1"
"COST000123","PRJ004","LAB-MEP","2025-03-01","2300000","2060654","2336611","0.88","0.9"
"COST000124","PRJ004","MAT-CEM","2025-04-01","2800000","2937543","2916979","1.01","1.05"
"COST000125","PRJ004","MAT-BLK","2025-05-01","2200000","2291495","2047946","1.12","1.04"
"COST000126","PRJ004","MAT-STEEL","2025-06-01","11900000","9258662","14054280","0.66","0.78"
"COST000127","PRJ004","EQP-SCAF","2025-07-01","11300000","11330383","11250879","1.01","1"
"COST000128","PRJ004","SUB-FACADE","2025-08-01","10700000","10900808","9725330","1.12","1.02"
"COST000129","PRJ004","OVH-SITE","2025-09-01","14200000","13930271","14383957","0.97","0.98"
"COST000130","PRJ004","OVH-UTIL","2025-10-01","12600000","12043091","11932066","1.01","0.96"
"COST000131","PRJ004","LAB-REBR","2025-11-01","12700000","12613366","11389169","1.11","0.99"
"COST000132","PRJ004","LAB-SAF","2025-12-01","16100000","14506699","15272522","0.95","0.9"
"COST000133","PRJ004","MAT-AGG","2026-01-01","12000000","11202990","12406846","0.9","0.93"
"COST000134","PRJ004","EQP-CRANE","2026-02-01","3200000","3156631","2949161","1.07","0.99"
"COST000135","PRJ004","EQP-CRANE","2026-03-01","7400000","5525225","8731960","0.63","0.75"
"COST000136","PRJ004","SUB-MEP","2026-04-01","7800000","7465640","8516301","0.88","0.96"
"COST000137","PRJ004","SUB-EXT","2026-05-01","14600000","14473669","14128864","1.02","0.99"
"COST000138","PRJ004","OVH-HSE","2026-06-01","2700000","2641035","2566823","1.03","0.98"
"COST000139","PRJ004","LAB-CARP","2026-07-01","11100000","11559476","10930704","1.06","1.04"
"COST000140","PRJ004","LAB-FIN","2026-08-01","17400000","17858458","18884003","0.95","1.03"
"COST000141","PRJ004","MAT-STEEL","2026-09-01","10500000","10311231","11382301","0.91","0.98"
"COST000142","PRJ004","MAT-FIN","2024-10-01","12100000","10930552","11528965","0.95","0.9"
"COST000143","PRJ004","EQP-EARTH","2024-11-01","1600000","1471659","1529534","0.96","0.92"
"COST000144","PRJ004","SUB-STRC","2024-12-01","15900000","10137483","19431574","0.52","0.64"
"COST000145","PRJ004","SUB-WTR","2025-01-01","7200000","7311146","7813431","0.94","1.02"
"COST000146","PRJ004","OVH-QA","2025-02-01","6200000","6362360","6343439","1","1.03"
"COST000147","PRJ004","OVH-ADM","2025-03-01","2100000","2146553","2263487","0.95","1.02"
"COST000148","PRJ004","LAB-MEP","2025-04-01","16300000","15894504","17125546","0.93","0.98"
"COST000149","PRJ004","MAT-CEM","2025-05-01","10500000","10683201","9782005","1.09","1.02"
"COST000150","PRJ004","MAT-BLK","2025-06-01","13300000","12823651","11733643","1.09","0.96"
"COST000151","PRJ004","EQP-PUMP","2025-07-01","2400000","2253416","2481333","0.91","0.94"
"COST000152","PRJ004","EQP-SCAF","2025-08-01","14000000","14764753","13994825","1.06","1.05"
"COST000153","PRJ004","MAT-STEEL","2025-09-01","14700000","9669740","18159437","0.53","0.66"
"COST000154","PRJ004","OVH-SITE","2025-10-01","11400000","10866125","12274316","0.89","0.95"
"COST000155","PRJ004","OVH-UTIL","2025-11-01","11500000","11209303","10956495","1.02","0.97"
"COST000156","PRJ004","LAB-REBR","2025-12-01","2000000","2007983","2154061","0.93","1"
"COST000157","PRJ004","LAB-SAF","2026-01-01","1800000","1605777","1804730","0.89","0.89"
"COST000158","PRJ004","MAT-AGG","2026-02-01","17900000","17128546","19353685","0.89","0.96"
"COST000159","PRJ004","EQP-CRANE","2026-03-01","2800000","2967031","2563397","1.16","1.06"
"COST000160","PRJ004","EQP-GEN","2026-04-01","15900000","15690184","14133664","1.11","0.99"
"COST000161","PRJ005","LAB-FIN","2025-02-01","4900000","4743221","5126773","0.93","0.97"
"COST000162","PRJ005","MAT-STEEL","2025-03-01","16500000","15358666","16304258","0.94","0.93"
"COST000163","PRJ005","MAT-FIN","2025-04-01","10900000","10769338","11540630","0.93","0.99"
"COST000164","PRJ005","EQP-EARTH","2025-05-01","2200000","2060726","2126459","0.97","0.94"
"COST000165","PRJ005","SUB-STRC","2025-06-01","7400000","7744553","6932761","1.12","1.05"
"COST000166","PRJ005","MAT-STEEL","2025-07-01","14600000","10139547","17448126","0.58","0.69"
"COST000167","PRJ005","OVH-QA","2025-08-01","9000000","9534319","8778802","1.09","1.06"
"COST000168","PRJ005","OVH-ADM","2025-09-01","3300000","3462907","3498376","0.99","1.05"
"COST000169","PRJ005","LAB-MEP","2025-10-01","6800000","6956413","7048233","0.99","1.02"
"COST000170","PRJ005","MAT-CEM","2025-11-01","9700000","8804820","8808240","1","0.91"
"COST000171","PRJ005","MAT-BLK","2025-12-01","4400000","4304787","4761827","0.9","0.98"
"COST000172","PRJ005","EQP-PUMP","2026-01-01","10600000","10492538","11185541","0.94","0.99"
"COST000173","PRJ005","EQP-SCAF","2026-02-01","8200000","7358940","8484377","0.87","0.9"
"COST000174","PRJ005","SUB-FACADE","2026-03-01","13600000","13400712","14451397","0.93","0.99"
"COST000175","PRJ005","EQP-CRANE","2026-04-01","6300000","4391088","8331820","0.53","0.7"
"COST000176","PRJ005","OVH-UTIL","2026-05-01","13800000","14140051","13490301","1.05","1.02"
"COST000177","PRJ005","LAB-REBR","2026-06-01","17400000","16550456","16841340","0.98","0.95"
"COST000178","PRJ005","LAB-SAF","2026-07-01","8100000","7277959","8246622","0.88","0.9"
"COST000179","PRJ005","MAT-AGG","2026-08-01","9700000","9562377","10398341","0.92","0.99"
"COST000180","PRJ005","EQP-CRANE","2026-09-01","5000000","5118550","4519858","1.13","1.02"
"COST000181","PRJ005","EQP-GEN","2024-10-01","2100000","1998500","1993463","1","0.95"
"COST000182","PRJ005","SUB-MEP","2024-11-01","18000000","17358773","18510391","0.94","0.96"
"COST000183","PRJ005","SUB-EXT","2024-12-01","17000000","15799912","18341960","0.86","0.93"
"COST000184","PRJ005","SUB-STRC","2025-01-01","5200000","3292265","6344583","0.52","0.63"
"COST000185","PRJ005","LAB-CARP","2025-02-01","16800000","16543717","16103670","1.03","0.98"
"COST000186","PRJ005","LAB-FIN","2025-03-01","15100000","13762974","14126883","0.97","0.91"
"COST000187","PRJ005","MAT-STEEL","2025-04-01","12200000","12620959","13183335","0.96","1.03"
"COST000188","PRJ005","MAT-FIN","2025-05-01","7600000","6940841","6688212","1.04","0.91"
"COST000189","PRJ005","EQP-EARTH","2025-06-01","14100000","13299319","13870264","0.96","0.94"
"COST000190","PRJ005","SUB-STRC","2025-07-01","4300000","3807726","3860565","0.99","0.89"
"COST000191","PRJ005","SUB-WTR","2025-08-01","5600000","5462375","5726088","0.95","0.98"
"COST000192","PRJ005","OVH-QA","2025-09-01","3500000","3415423","3676331","0.93","0.98"
"COST000193","PRJ005","MAT-STEEL","2025-10-01","15400000","10715042","19276189","0.56","0.7"
"COST000194","PRJ005","LAB-MEP","2025-11-01","6300000","6410686","6527419","0.98","1.02"
"COST000195","PRJ005","MAT-CEM","2025-12-01","11500000","10731238","11923595","0.9","0.93"
"COST000196","PRJ005","MAT-BLK","2026-01-01","5600000","5920553","5875941","1.01","1.06"
"COST000197","PRJ005","EQP-PUMP","2026-02-01","1300000","1208285","1321945","0.91","0.93"
"COST000198","PRJ005","EQP-SCAF","2026-03-01","13200000","11806629","13309417","0.89","0.89"
"COST000199","PRJ005","SUB-FACADE","2026-04-01","17700000","17725330","15757040","1.12","1"
"COST000200","PRJ005","OVH-SITE","2026-05-01","16300000","17535340","17901664","0.98","1.08"
"COST000201","PRJ006","EQP-CRANE","2025-03-01","1300000","1274381","1378391","0.92","0.98"
"COST000202","PRJ006","EQP-GEN","2025-04-01","16500000","16757645","18075386","0.93","1.02"
"COST000203","PRJ006","SUB-MEP","2025-05-01","1400000","1487809","1389608","1.07","1.06"
"COST000204","PRJ006","SUB-EXT","2025-06-01","16200000","15443343","15632778","0.99","0.95"
"COST000205","PRJ006","OVH-HSE","2025-07-01","16300000","15718385","15693416","1","0.96"
"COST000206","PRJ006","MAT-STEEL","2025-08-01","4100000","2739691","5567373","0.49","0.67"
"COST000207","PRJ006","LAB-FIN","2025-09-01","4500000","4173565","4825293","0.86","0.93"
"COST000208","PRJ006","MAT-STEEL","2025-10-01","1800000","1685751","1676322","1.01","0.94"
"COST000209","PRJ006","MAT-FIN","2025-11-01","5400000","4829792","5417039","0.89","0.89"
"COST000210","PRJ006","EQP-EARTH","2025-12-01","5700000","5213643","5231739","1","0.91"
"COST000211","PRJ006","SUB-STRC","2026-01-01","4800000","5029701","4830663","1.04","1.05"
"COST000212","PRJ006","SUB-WTR","2026-02-01","9400000","8433027","8479020","0.99","0.9"
"COST000213","PRJ006","OVH-QA","2026-03-01","5800000","5117600","5568329","0.92","0.88"
"COST000214","PRJ006","OVH-ADM","2026-04-01","17300000","15612923","16789916","0.93","0.9"
"COST000215","PRJ006","EQP-CRANE","2026-05-01","900000","595305","1161841","0.51","0.66"
"COST000216","PRJ006","MAT-CEM","2026-06-01","13500000","13763901","13830162","1","1.02"
"COST000217","PRJ006","MAT-BLK","2026-07-01","16500000","17292745","15549628","1.11","1.05"
"COST000218","PRJ006","EQP-PUMP","2026-08-01","9900000","10188839","9768425","1.04","1.03"
"COST000219","PRJ006","EQP-SCAF","2026-09-01","7600000","7028106","7820562","0.9","0.92"
"COST000220","PRJ006","SUB-FACADE","2024-10-01","9900000","10180271","10855050","0.94","1.03"
"COST000221","PRJ006","OVH-SITE","2024-11-01","14800000","15349798","13361250","1.15","1.04"
"COST000222","PRJ006","OVH-UTIL","2024-12-01","9000000","8522435","8178337","1.04","0.95"
"COST000223","PRJ006","LAB-REBR","2025-01-01","16400000","15329254","16555427","0.93","0.93"
"COST000224","PRJ006","SUB-STRC","2025-02-01","1200000","782324","1527314","0.51","0.65"
"COST000225","PRJ006","MAT-AGG","2025-03-01","11800000","10582191","12776299","0.83","0.9"
"COST000226","PRJ006","EQP-CRANE","2025-04-01","10200000","10677114","10275352","1.04","1.05"
"COST000227","PRJ006","EQP-GEN","2025-05-01","16900000","16059330","17555303","0.91","0.95"
"COST000228","PRJ006","SUB-MEP","2025-06-01","13700000","12281029","12141457","1.01","0.9"
"COST000229","PRJ006","SUB-EXT","2025-07-01","12700000","13144083","11587461","1.13","1.03"
"COST000230","PRJ006","OVH-HSE","2025-08-01","4000000","3650326","4079872","0.89","0.91"
"COST000231","PRJ006","LAB-CARP","2025-09-01","1000000","971871","891943","1.09","0.97"
"COST000232","PRJ006","LAB-FIN","2025-10-01","16100000","14766843","16964682","0.87","0.92"
"COST000233","PRJ006","MAT-STEEL","2025-11-01","5700000","4158794","7647742","0.54","0.73"
"COST000234","PRJ006","MAT-FIN","2025-12-01","4800000","4812458","4878962","0.99","1"
"COST000235","PRJ006","EQP-EARTH","2026-01-01","13700000","14480762","12115460","1.2","1.06"
"COST000236","PRJ006","SUB-STRC","2026-02-01","5300000","4833307","5699092","0.85","0.91"
"COST000237","PRJ006","SUB-WTR","2026-03-01","12300000","11807713","11828282","1","0.96"
"COST000238","PRJ006","OVH-QA","2026-04-01","10000000","10202768","9740646","1.05","1.02"
"COST000239","PRJ006","OVH-ADM","2026-05-01","1600000","1518133","1416799","1.07","0.95"
"COST000240","PRJ006","LAB-MEP","2026-06-01","13900000","14038430","12916011","1.09","1.01"
"COST000241","PRJ007","SUB-FACADE","2025-04-01","15300000","13948515","13474672","1.04","0.91"
"COST000242","PRJ007","OVH-SITE","2025-05-01","16200000","15782472","17741593","0.89","0.97"
"COST000243","PRJ007","OVH-UTIL","2025-06-01","10100000","9969729","9320465","1.07","0.99"
"COST000244","PRJ007","LAB-REBR","2025-07-01","3000000","3072865","3274192","0.94","1.02"
"COST000245","PRJ007","LAB-SAF","2025-08-01","14000000","13320578","13895422","0.96","0.95"
"COST000246","PRJ007","MAT-STEEL","2025-09-01","8300000","5770611","11188840","0.52","0.7"
"COST000247","PRJ007","EQP-CRANE","2025-10-01","5200000","4715708","5119629","0.92","0.91"
"COST000248","PRJ007","EQP-GEN","2025-11-01","14000000","12491518","14618257","0.85","0.89"
"COST000249","PRJ007","SUB-MEP","2025-12-01","13700000","13836298","13906063","0.99","1.01"
"COST000250","PRJ007","SUB-EXT","2026-01-01","6300000","5685700","5766670","0.99","0.9"
"COST000251","PRJ007","OVH-HSE","2026-02-01","9400000","8378082","9946088","0.84","0.89"
"COST000252","PRJ007","LAB-CARP","2026-03-01","12300000","12638990","11028661","1.15","1.03"
"COST000253","PRJ007","LAB-FIN","2026-04-01","5500000","5673541","4887318","1.16","1.03"
"COST000254","PRJ007","MAT-STEEL","2026-05-01","17300000","15974715","17898445","0.89","0.92"
"COST000255","PRJ007","EQP-CRANE","2026-06-01","1100000","809568","1353057","0.6","0.74"
"COST000256","PRJ007","EQP-EARTH","2026-07-01","5200000","5525094","5578311","0.99","1.06"
"COST000257","PRJ007","SUB-STRC","2026-08-01","7200000","7248184","7870432","0.92","1.01"
"COST000258","PRJ007","SUB-WTR","2026-09-01","15700000","16875620","14150591","1.19","1.07"
"COST000259","PRJ007","OVH-QA","2024-10-01","7400000","6619422","7382041","0.9","0.89"
"COST000260","PRJ007","OVH-ADM","2024-11-01","16800000","16518117","16365466","1.01","0.98"
"COST000261","PRJ007","LAB-MEP","2024-12-01","16600000","15267976","17281705","0.88","0.92"
"COST000262","PRJ007","MAT-CEM","2025-01-01","14100000","14611038","14694568","0.99","1.04"
"COST000263","PRJ007","MAT-BLK","2025-02-01","4900000","4336367","5065500","0.86","0.88"
"COST000264","PRJ007","SUB-STRC","2025-03-01","13300000","8262652","15765501","0.52","0.62"
"COST000265","PRJ007","EQP-SCAF","2025-04-01","2300000","2414567","2348529","1.03","1.05"
"COST000266","PRJ007","SUB-FACADE","2025-05-01","3700000","3727221","3868603","0.96","1.01"
"COST000267","PRJ007","OVH-SITE","2025-06-01","17900000","18322236","17352728","1.06","1.02"
"COST000268","PRJ007","OVH-UTIL","2025-07-01","7800000","8087566","7298689","1.11","1.04"
"COST000269","PRJ007","LAB-REBR","2025-08-01","13000000","13020647","12713263","1.02","1"
"COST000270","PRJ007","LAB-SAF","2025-09-01","1100000","986626","1188162","0.83","0.9"
"COST000271","PRJ007","MAT-AGG","2025-10-01","13600000","12373063","11998135","1.03","0.91"
"COST000272","PRJ007","EQP-CRANE","2025-11-01","9900000","9275483","10327492","0.9","0.94"
"COST000273","PRJ007","MAT-STEEL","2025-12-01","900000","614671","1157554","0.53","0.68"
"COST000274","PRJ007","SUB-MEP","2026-01-01","3200000","3325209","2972864","1.12","1.04"
"COST000275","PRJ007","SUB-EXT","2026-02-01","2400000","2294382","2429196","0.94","0.96"
"COST000276","PRJ007","OVH-HSE","2026-03-01","14400000","12960377","14290039","0.91","0.9"
"COST000277","PRJ007","LAB-CARP","2026-04-01","13800000","13677103","12985649","1.05","0.99"
"COST000278","PRJ007","LAB-FIN","2026-05-01","1300000","1176712","1300034","0.91","0.91"
"COST000279","PRJ007","MAT-STEEL","2026-06-01","2600000","2591969","2855763","0.91","1"
"COST000280","PRJ007","MAT-FIN","2026-07-01","5200000","5486890","5585018","0.98","1.06"
"COST000281","PRJ008","OVH-ADM","2025-05-01","18000000","17170842","19464239","0.88","0.95"
"COST000282","PRJ008","LAB-MEP","2025-06-01","9100000","8491158","8732245","0.97","0.93"
"COST000283","PRJ008","MAT-CEM","2025-07-01","11400000","11825239","12289350","0.96","1.04"
"COST000284","PRJ008","MAT-BLK","2025-08-01","14200000","14265002","14620203","0.98","1"
"COST000285","PRJ008","EQP-PUMP","2025-09-01","5900000","5621547","5774462","0.97","0.95"
"COST000286","PRJ008","MAT-STEEL","2025-10-01","2800000","2198862","3596078","0.61","0.79"
"COST000287","PRJ008","SUB-FACADE","2025-11-01","12900000","13708871","12641586","1.08","1.06"
"COST000288","PRJ008","OVH-SITE","2025-12-01","9100000","9209883","8488643","1.08","1.01"
"COST000289","PRJ008","OVH-UTIL","2026-01-01","17700000","18186217","15811027","1.15","1.03"
